name	ref	coverage	ref_coverage	qstart	qend	rstart	rend	aligned_ref_len	direction	length	read_length	match	ins	del	sub	iden	acc	mapq
122f1676-6fd3-470f-ba6c-51f90c2bdc0a	e4_contig_114_pilon_pilon_pilon	54.53618261291889	24.77985478139966	9361	20590	0	11228	11228	+	11230	20590	11227	2	1	0	100.0	99.973285841496	60
0377e554-c3d4-48c2-bc6a-ab803ae29f07	e4_contig_114_pilon_pilon_pilon	66.258960063716	25.711195956831673	5931	17578	0	11650	11650	+	11651	17578	11646	1	4	0	100.0	99.95708522873574	60
09f64ce0-4d3b-46c4-821a-3632f6eb61c8	e4_contig_114_pilon_pilon_pilon	94.57142857142857	9.527487806492905	247	4550	0	4317	4317	+	4317	4550	4303	0	14	0	100.0	99.67570071809126	60
7bb65254-56cb-4fbe-9c31-5fb86c636989	e4_contig_114_pilon_pilon_pilon	70.73781544981699	8.128269073734854	1519	5191	0	3683	3683	+	3683	5191	3672	0	11	2	99.94553376906318	99.64702688026065	60
0a02cc4e-157b-4ad6-80b6-da9af6ca7e80	e4_contig_114_pilon_pilon_pilon	68.17684394834755	6.892366092118912	1454	4569	0	3123	3123	+	3123	4569	3115	0	8	1	99.96789727126806	99.71181556195965	60
37d955e7-109f-465b-a4aa-121308154fd4	e4_contig_114_pilon_pilon_pilon	100.0	20.952969477610292	0	9493	531	10025	9494	+	9494	9493	9493	0	1	1	99.9894659222585	99.97893406361912	60
30878b91-ceaf-4834-8ede-b39c87e46390	e4_contig_114_pilon_pilon_pilon	100.0	1.3043190395268258	0	591	821	1412	591	+	591	591	591	0	0	0	100.0	100.0	60
9ea76be7-316a-4739-8451-2dd3726859a2	e4_contig_114_pilon_pilon_pilon	100.0	16.60082540663415	0	7522	982	8504	7522	-	7523	7522	7521	1	1	6	99.92022337455126	99.8936594443706	60
acb8cdda-ceb5-4cad-9fbc-a7849547d389	e4_contig_114_pilon_pilon_pilon	100.0	13.500033104544151	0	6096	1799	7916	6117	+	6125	6096	6088	8	29	18	99.70433639947437	99.10204081632654	60
650684ff-5160-4636-9c70-e24450c22816	e4_contig_114_pilon_pilon_pilon	100.0	19.549336805632187	0	8859	1921	10779	8858	+	8859	8859	8858	1	0	1	99.98871076992549	99.97742408849757	60
1e38e97b-e2cc-4c5d-920c-d8803d0b8aac	e4_contig_114_pilon_pilon_pilon	100.0	1.169693893315089	0	530	1952	2482	530	+	530	530	530	0	0	0	100.0	100.0	60
5d5aa959-5edd-4ac2-ba1d-010c4ac12539	e4_contig_114_pilon_pilon_pilon	99.93011879804332	3.160380481560769	0	1430	2401	3833	1432	-	1432	1431	1430	0	2	1	99.93006993006993	99.79050279329608	60
bfd322a5-66d8-44a0-b7a3-41aa3fa9cd5c	e4_contig_114_pilon_pilon_pilon	100.0	5.932334311756527	0	2688	2705	5393	2688	+	2688	2688	2688	0	0	0	100.0	100.0	60
4bcef588-281b-4d3e-926d-b2f3768a16f8	e4_contig_114_pilon_pilon_pilon	100.0	12.04564013153539	0	5453	2927	8385	5458	+	5458	5453	5453	0	5	0	100.0	99.90839135214364	60
e3894c59-704c-46eb-b65e-e3fc89e16d29	e4_contig_114_pilon_pilon_pilon	100.0	2.9529253382180927	0	1338	3221	4559	1338	-	1338	1338	1338	0	0	0	100.0	100.0	60
738e255d-98ef-4631-93f6-b06e6a3b9da7	e4_contig_114_pilon_pilon_pilon	100.0	5.378384939639381	0	2437	3315	5752	2437	-	2437	2437	2437	0	0	0	100.0	100.0	60
2147a266-fdc4-4a78-b94c-85c1edbac7b9	e4_contig_114_pilon_pilon_pilon	96.51387992253066	3.2994195669925626	0	1495	3519	5014	1495	-	1495	1549	1495	0	0	0	100.0	100.0	60
d2159113-4d1c-4b7d-98fa-7593f775c6b3	e4_contig_114_pilon_pilon_pilon	100.0	3.0257553353490323	0	1371	3730	5101	1371	+	1371	1371	1371	0	0	0	100.0	100.0	60
266a6e5c-cfc4-4ff2-8d8e-a8a7e4d8099f	e4_contig_114_pilon_pilon_pilon	100.0	1.9156496215047119	0	868	3933	4801	868	-	868	868	868	0	0	0	100.0	100.0	60
5ba8eb1e-3cd3-44ea-8c63-67aebb0f9272	e4_contig_114_pilon_pilon_pilon	96.27329192546584	3.080929575599744	51	1446	4238	5634	1396	+	1396	1449	1395	0	1	0	100.0	99.92836676217765	60
31275ae2-a98f-426d-b5a7-6c2a0b9fcc7e	e4_contig_114_pilon_pilon_pilon	100.0	40.38092295469092	0	18290	4577	22874	18297	+	18304	18290	18283	7	14	6	99.96718262867144	99.85249125874125	60
bcf3ac72-14de-4be8-836d-6b6751db5f5a	e4_contig_114_pilon_pilon_pilon	100.0	7.342587892564719	0	3326	4958	8285	3327	+	3327	3326	3326	0	1	0	100.0	99.96994289149384	60
1094d068-3eae-428e-8de1-1b67a0990bda	e4_contig_114_pilon_pilon_pilon	99.98508464464166	29.661671558782636	0	13407	5645	19085	13440	+	13446	13409	13401	6	39	8	99.94030296246548	99.60583073032872	60
bd66700b-9071-4900-880f-3bf3841af6cf_1	e4_contig_114_pilon_pilon_pilon	89.29188255613126	3.4274238043742136	0	1551	5815	7368	1553	-	1563	1737	1541	10	12	15	99.02660609993511	97.63275751759437	60
f5a8785b-f941-485f-8b9d-6b3565749439	e4_contig_114_pilon_pilon_pilon	100.0	3.387698351393701	0	1535	5850	7385	1535	+	1535	1535	1535	0	0	0	100.0	100.0	60
3f851f74-b77d-49a9-8d91-d7bb20d65648	e4_contig_114_pilon_pilon_pilon	100.0	5.581426143762	0	2525	5873	8402	2529	-	2529	2525	2525	0	4	0	100.0	99.84183471727955	60
b969713c-29dc-436a-9d5c-5eaad34d681c	e4_contig_114_pilon_pilon_pilon	100.0	11.343823795546335	0	5145	5876	11016	5140	-	5145	5145	5140	5	0	0	100.0	99.90281827016521	60
52fb84c8-cdab-492c-b358-bc609968de19	e4_contig_114_pilon_pilon_pilon	100.0	17.91176535499106	0	8111	6226	14342	8116	+	8117	8111	8110	1	6	0	100.0	99.91376124183812	60
d504393f-f9a0-4230-bb68-7a448b905652	e4_contig_114_pilon_pilon_pilon	100.0	2.8536117057668116	0	1293	6237	7530	1293	+	1293	1293	1293	0	0	0	100.0	100.0	60
358dc6cf-2fd1-43fc-ae54-9770555de23e	e4_contig_114_pilon_pilon_pilon	100.0	5.471077663260577	0	2479	6421	8900	2479	+	2480	2479	2478	1	1	1	99.95964487489911	99.87903225806451	60
2da72d7f-3f9c-4f3b-90c2-1f451bd931e8	e4_contig_114_pilon_pilon_pilon	100.0	14.396062766215708	0	6521	7146	13669	6523	-	6523	6521	6521	0	2	0	100.0	99.96933926107619	60
ff6615c5-b3b5-44a7-a127-ef57727d47c6	e4_contig_114_pilon_pilon_pilon	100.0	9.0000220696961	0	4079	7382	11460	4078	-	4080	4079	4077	2	1	0	100.0	99.92647058823529	60
00dbe712-ff51-4b95-872b-0154dedfd1d8	e4_contig_114_pilon_pilon_pilon	100.0	8.430623910308755	0	3818	7615	11435	3820	+	3820	3818	3818	0	2	0	100.0	99.94764397905759	60
f8a886e5-820f-4f76-a23f-d0445d298d7a	e4_contig_114_pilon_pilon_pilon	100.0	19.299949239698968	0	8746	7782	16527	8745	-	8755	8746	8736	10	9	3	99.96565934065934	99.74871501998858	60
62f017f3-9136-40f2-955f-cf39138ea3db	e4_contig_114_pilon_pilon_pilon	100.0	2.752091103705502	0	1247	7814	9061	1247	+	1247	1247	1247	0	0	0	100.0	100.0	60
f3739f17-e331-4f9b-aec9-c13cbfada739	e4_contig_114_pilon_pilon_pilon	100.0	29.173931274966343	0	13217	8205	21424	13219	+	13222	13217	13214	3	5	0	100.0	99.9394947814249	60
05cea589-e819-4a61-9c34-015a4a1000d9	e4_contig_114_pilon_pilon_pilon	100.0	12.140539824766613	0	5487	8453	13954	5501	+	5501	5487	5487	0	14	0	100.0	99.74550081803308	60
0b5ddc94-2228-44f1-a06e-c2ff4d260267	e4_contig_114_pilon_pilon_pilon	100.0	8.759462382202997	0	3870	9262	13231	3969	-	3972	3870	3867	3	102	2	99.94828032066201	97.30614300100704	60
aac67d5d-0e25-4c65-800d-5ad455cb8b3b	e4_contig_114_pilon_pilon_pilon	100.0	4.603738606519388	0	2086	9321	11407	2086	+	2086	2086	2086	0	0	0	100.0	100.0	60
8d653797-1fb6-4d67-8dd3-ca2f05422aba	e4_contig_114_pilon_pilon_pilon	100.0	4.764847388051466	0	2158	9685	11844	2159	-	2159	2158	2158	0	1	0	100.0	99.9536822603057	60
457a1a08-edd7-4a6f-9b1d-36970433455b	e4_contig_114_pilon_pilon_pilon	100.0	5.678532806603253	0	2573	9802	12375	2573	+	2573	2573	2573	0	0	0	100.0	100.0	60
5dd24f9d-e77c-46eb-8c68-8ce75f83693b	e4_contig_114_pilon_pilon_pilon	100.0	2.577740504513253	0	1165	9952	11120	1168	+	1168	1165	1165	0	3	0	100.0	99.7431506849315	60
439bd534-bae6-4aac-9328-aa242f48806a	e4_contig_114_pilon_pilon_pilon	100.0	22.694268499922757	0	10279	9987	20270	10283	-	10285	10279	10277	2	6	1	99.99026953391068	99.9124939231891	60
9dd31120-9b63-4050-8c32-25b3fc80737d	e4_contig_114_pilon_pilon_pilon	100.0	5.360729182759154	0	2425	10068	12497	2429	+	2430	2425	2424	1	5	0	100.0	99.75308641975309	60
ef136ba6-da70-43f2-acfc-7f824c70aa2e	e4_contig_114_pilon_pilon_pilon	100.0	5.892608858776015	0	2672	10075	12745	2670	-	2672	2672	2670	2	0	0	100.0	99.92514970059881	60
910f2654-3e53-4244-a53d-63f3e88151bc	e4_contig_114_pilon_pilon_pilon	100.0	6.466420957383417	0	2929	10478	13408	2930	+	2930	2929	2929	0	1	0	100.0	99.96587030716724	60
a165c737-d930-45dc-8946-eb9cc5b41191	e4_contig_114_pilon_pilon_pilon	100.0	7.42865970735583	0	3363	10636	14002	3366	-	3366	3363	3363	0	3	1	99.9702646446625	99.88116458704694	60
4e06b101-b48b-4172-98ba-0a01aa4b8cd1	e4_contig_114_pilon_pilon_pilon	100.0	4.440422855377282	0	2003	11264	13276	2012	-	2012	2003	2003	0	9	2	99.900149775337	99.45328031809144	60
a46a51d5-bcc5-4cdd-80e8-4cc088ae8334	e4_contig_114_pilon_pilon_pilon	100.0	2.4585641455717155	0	1114	11453	12567	1114	+	1114	1114	1114	0	0	0	100.0	100.0	60
b0d24305-1433-4ff0-b52b-64c1dd984bbb	e4_contig_114_pilon_pilon_pilon	100.0	5.40928251417978	0	2449	11453	13904	2451	+	2451	2449	2449	0	2	0	100.0	99.91840065279477	60
1fbf57d4-50c7-44b9-bcd1-b91a1315614b	e4_contig_114_pilon_pilon_pilon	100.0	10.679525942927766	0	4838	11512	16351	4839	+	4840	4838	4837	1	2	0	100.0	99.93801652892562	60
